_id,brand,color,car_type,in_section,now_section,week_day,special_day,date,hour_in,hour_out,out_section
60fd3e690ebc82e427d1323e,Maserati,red,truck,3,3,1,false,12-5-2021,5,23,4
60fd3e690ebc82e427d1323f,Audi,green,motorcycle,5,5,4,true,31-10-2020,17,18,1
60fd3e690ebc82e427d13240,Renault,white,motorcycle,1,1,2,false,8-5-2020,15,13,5
60fd3e690ebc82e427d13241,BMW,white,motorcycle,4,4,6,true,28-1-2020,10,15,2
60fd3e690ebc82e427d13242,BMW,red,car,1,1,1,false,9-7-2020,3,19,2
60fd3e690ebc82e427d13243,Toyota,red,car,1,1,6,true,7-5-2020,15,10,4
60fd3e6b0ebc82e427d13244,BMW,black,car,1,1,3,false,22-7-2020,14,13,3
60fd3e6c0ebc82e427d13245,BMW,black,car,4,4,3,false,14-7-2021,7,4,3
60fd3e6e0ebc82e427d13246,Renault,white,car,2,2,3,false,21-2-2021,15,17,2
60fd3e6f0ebc82e427d13247,BMW,green,car,5,5,1,true,3-3-2021,4,6,1
60fd3e710ebc82e427d13248,BMW,white,car,3,3,1,true,18-10-2020,18,24,2
60fd3e720ebc82e427d13249,BMW,red,car,3,3,3,false,24-3-2021,6,10,2
60fd3e740ebc82e427d1324a,BMW,green,car,1,1,7,true,24-3-2021,10,3,1
60fd3e750ebc82e427d1324b,Renault,blue,car,3,3,6,true,15-12-2020,12,18,3
60fd3e770ebc82e427d1324c,Honda,green,car,2,2,2,true,17-4-2021,18,4,1
60fd3e780ebc82e427d1324d,Renault,white,motorcycle,2,2,6,true,11-11-2020,13,10,3
60fd3e7a0ebc82e427d1324e,Lamborghini,blue,car,5,5,6,true,13-4-2021,24,14,3
60fd3e7b0ebc82e427d1324f,Maserati,yellow,car,1,1,4,false,20-9-2020,6,23,4
60fd3e7d0ebc82e427d13250,Toyota,black,car,2,2,4,false,10-5-2020,9,9,3
60fd3e7e0ebc82e427d13251,BMW,yellow,bus,3,3,4,false,12-9-2020,19,16,5
60fd3e800ebc82e427d13252,Audi,white,car,1,1,5,true,15-5-2021,17,15,2
60fd3e810ebc82e427d13253,BMW,white,car,1,1,4,true,15-6-2021,4,21,2
60fd3e830ebc82e427d13254,BMW,yellow,car,4,4,2,true,2-6-2021,7,6,4
60fd3e840ebc82e427d13255,Lamborghini,blue,car,2,2,5,false,22-6-2021,4,13,3
60fd3e860ebc82e427d13256,Renault,blue,bus,2,2,5,false,12-6-2021,22,6,5
60fd3e870ebc82e427d13257,Maserati,red,car,3,3,4,true,6-7-2021,3,4,2
60fd3e890ebc82e427d13258,Renault,black,motorcycle,2,2,7,false,16-4-2020,17,9,1
60fd3e8a0ebc82e427d13259,Renault,white,car,2,2,5,true,28-10-2020,20,17,2
60fd3e8b0ebc82e427d1325a,Maserati,yellow,car,1,1,3,true,21-10-2020,5,4,4
60fd3e8d0ebc82e427d1325b,Toyota,blue,car,3,3,7,true,25-6-2021,24,18,3
60fd3e8f0ebc82e427d1325c,Ford,black,car,4,4,5,false,5-2-2021,3,24,3
60fd3e900ebc82e427d1325d,BMW,yellow,bus,4,4,6,false,15-7-2020,7,24,5
60fd3e920ebc82e427d1325e,BMW,blue,bus,2,2,6,false,14-4-2021,15,21,5
60fd3e930ebc82e427d1325f,Audi,yellow,motorcycle,2,2,7,false,22-3-2021,3,19,3
60fd3e950ebc82e427d13260,Toyota,red,car,5,5,4,false,30-7-2020,13,22,2
60fd3e960ebc82e427d13261,Ford,black,car,2,2,3,false,24-2-2020,9,19,3
60fd3e980ebc82e427d13262,Ford,yellow,car,1,1,4,false,18-7-2021,24,16,4
60fd3e990ebc82e427d13263,Audi,blue,car,1,1,3,true,3-10-2020,5,3,3
60fd3e9b0ebc82e427d13264,Toyota,white,bus,2,2,5,false,2-11-2020,17,6,5
60fd3e9c0ebc82e427d13265,Maserati,black,car,4,4,4,true,16-9-2020,18,4,3
60fd3e9e0ebc82e427d13266,Renault,pink,bus,1,1,4,false,14-8-2020,9,18,5
60fd3e9f0ebc82e427d13267,Toyota,red,car,5,5,4,false,23-5-2020,15,2,2
60fd3ea10ebc82e427d13268,Audi,yellow,motorcycle,5,5,5,false,30-10-2020,5,13,3
60fd3ea20ebc82e427d13269,BMW,black,car,2,2,6,false,7-3-2021,2,14,3
60fd3ea40ebc82e427d1326a,Toyota,pink,car,3,3,6,false,7-7-2021,24,6,5
60fd3ea50ebc82e427d1326b,Maserati,black,bus,2,2,6,false,11-2-2021,19,7,5
60fd3ea70ebc82e427d1326c,Ford,pink,car,5,5,6,true,22-5-2021,13,3,5
60fd3ea80ebc82e427d1326d,BMW,pink,motorcycle,3,3,2,true,28-2-2020,17,17,2
60fd3eaa0ebc82e427d1326e,Audi,yellow,bus,2,2,5,false,16-4-2020,3,15,5
60fd3eab0ebc82e427d1326f,Maserati,yellow,car,5,5,1,false,2-10-2020,12,12,4
60fd3ead0ebc82e427d13270,Lamborghini,blue,car,3,3,1,false,5-6-2021,6,24,3
60fd3eaf0ebc82e427d13271,Maserati,red,motorcycle,5,5,2,true,9-6-2021,12,2,4
60fd3eb00ebc82e427d13272,Maserati,white,car,4,4,2,true,23-4-2020,7,6,2
60fd3eb10ebc82e427d13273,Audi,black,car,2,2,1,true,10-9-2020,12,24,3
60fd3eb30ebc82e427d13274,Toyota,white,car,4,4,3,false,30-5-2020,13,2,2
60fd3eb50ebc82e427d13275,Ford,red,car,5,5,1,true,3-2-2021,11,5,2
60fd3eb60ebc82e427d13276,Renault,green,car,3,3,6,false,21-2-2021,23,14,1
60fd3eb80ebc82e427d13277,Honda,black,car,3,3,3,false,25-5-2020,14,10,3
60fd3eb90ebc82e427d13278,Lamborghini,white,motorcycle,1,1,3,true,19-11-2020,16,18,4
60fd3ebb0ebc82e427d13279,Renault,white,car,1,1,7,false,28-4-2020,17,9,2
